,label,label_coarse,confidence,error,has_face,large_face,
0,tench,fish,0.025246585,3.6790648,0,0,
1,tench,fish,0.87234795,0.13656712,0,0,
2,tench,fish,0.16914757,1.7769837,1,1,
3,tench,fish,0.9902525,0.009795189,1,1,
4,tench,fish,0.9987478,0.001253128,0,0,
5,tench,fish,0.7349995,0.30788517,0,0,
6,tench,fish,0.9409528,0.06086254,1,1,
7,tench,fish,0.95382744,0.047272682,0,0,
8,tench,fish,0.6925617,0.3673582,1,1,
9,tench,fish,0.90151125,0.10368252,1,1,
10,tench,fish,0.00056668423,7.475708,0,0,
11,tench,fish,0.94187987,0.059877396,1,1,
12,tench,fish,0.9169198,0.08673477,1,1,
13,tench,fish,0.902299,0.10280895,1,1,
14,tench,fish,0.940852,0.060969353,1,1,
15,tench,fish,0.9761294,0.024160385,0,0,
16,tench,fish,0.9967173,0.003288269,0,0,
17,tench,fish,0.969682,0.030787468,0,0,
18,tench,fish,0.9338281,0.068463326,1,1,
19,tench,fish,0.95961785,0.04121971,1,1,
20,tench,fish,0.4716903,0.7514324,1,1,
21,tench,fish,0.8821446,0.12539959,0,0,
22,tench,fish,0.7264257,0.31961918,0,0,
23,tench,fish,0.83626455,0.17881012,1,1,
24,tench,fish,0.9539398,0.047154427,1,1,
25,tench,fish,0.65543693,0.42245293,1,1,
26,tench,fish,0.95795095,0.04295826,0,0,
27,tench,fish,0.74755347,0.29094982,0,0,
28,tench,fish,0.99695706,0.003047943,0,0,
29,tench,fish,0.22485463,1.492301,1,1,
30,tench,fish,0.9573028,0.04363537,0,0,
31,tench,fish,0.960949,0.039834023,1,1,
32,tench,fish,0.00552642,5.198215,1,0,
33,tench,fish,0.98922706,0.010831833,0,0,
34,tench,fish,0.95264846,0.048509598,0,0,
35,tench,fish,0.7219962,0.3257351,0,0,
36,tench,fish,0.11089424,2.1991782,0,0,
37,tench,fish,0.9356663,0.066495895,0,0,
38,tench,fish,0.8321098,0.18379116,0,0,
39,tench,fish,0.99188495,0.008148193,1,1,
40,tench,fish,0.93179476,0.07064247,1,1,
41,tench,fish,0.97361135,0.026742935,1,1,
42,tench,fish,0.9884133,0.011654854,1,1,
43,tench,fish,0.9834767,0.016661644,1,1,
44,tench,fish,0.97498643,0.025331497,1,1,
45,tench,fish,0.9885804,0.0114851,1,1,
46,tench,fish,0.96934175,0.03113842,0,0,
47,tench,fish,0.9530799,0.048056602,1,1,
48,tench,fish,0.8628137,0.1475563,1,1,
49,tench,fish,0.99015945,0.009889603,1,1,
50,goldfish,fish,0.007827017,4.850174,0,0,
51,goldfish,fish,0.46071815,0.7749691,0,0,
52,goldfish,fish,0.99981576,0.00018501282,0,0,
53,goldfish,fish,0.8122121,0.2079935,0,0,
54,goldfish,fish,0.016361754,4.112808,0,0,
55,goldfish,fish,0.5790622,0.5463457,0,0,
56,goldfish,fish,0.5554448,0.587986,0,0,
57,goldfish,fish,0.9874445,0.012635231,0,0,
58,goldfish,fish,0.48884872,0.71570206,0,0,
59,goldfish,fish,0.07802195,2.550765,0,0,
60,goldfish,fish,0.916631,0.08705044,0,0,
61,goldfish,fish,0.033222467,3.4045286,0,0,
62,goldfish,fish,0.9918419,0.008191109,0,0,
63,goldfish,fish,0.9896633,0.010390282,0,0,
64,goldfish,fish,0.9975139,0.00248909,0,0,
65,goldfish,fish,0.88691247,0.12000942,0,0,
66,goldfish,fish,0.86921537,0.14016438,0,0,
67,goldfish,fish,0.002899864,5.843091,0,0,
68,goldfish,fish,0.9611575,0.039616585,0,0,
69,goldfish,fish,0.8100523,0.21065617,0,0,
70,goldfish,fish,0.7715901,0.25930214,0,0,
71,goldfish,fish,0.98450124,0.015620232,0,0,
72,goldfish,fish,0.99628556,0.0037212372,0,0,
73,goldfish,fish,0.008460887,4.7723017,0,0,
74,goldfish,fish,0.9929975,0.0070266724,0,0,
75,goldfish,fish,0.8373768,0.1774807,0,0,
76,goldfish,fish,0.995688,0.0043210983,0,0,
77,goldfish,fish,0.14147227,1.9556513,0,0,
78,goldfish,fish,0.9808848,0.01930046,0,0,
79,goldfish,fish,0.41679388,0.8751631,0,0,
80,goldfish,fish,0.06437889,2.7429695,0,0,
81,goldfish,fish,0.8453591,0.16799355,0,0,
82,goldfish,fish,0.99225146,0.0077791214,0,0,
83,goldfish,fish,0.9088802,0.095541954,0,0,
84,goldfish,fish,0.95418125,0.046901703,0,0,
85,goldfish,fish,0.98032445,0.019871712,0,0,
86,goldfish,fish,0.9877257,0.012350082,0,0,
87,goldfish,fish,0.009606502,4.645315,1,1,
88,goldfish,fish,0.27867383,1.2777138,0,0,
89,goldfish,fish,0.82370085,0.19394779,0,0,
90,goldfish,fish,0.9722054,0.028187752,0,0,
91,goldfish,fish,0.038101315,3.2675066,0,0,
92,goldfish,fish,0.65855753,0.41770363,0,0,
93,goldfish,fish,0.8767584,0.13152409,0,0,
94,goldfish,fish,0.9849749,0.015138626,0,0,
95,goldfish,fish,0.97349757,0.026860237,0,0,
96,goldfish,fish,0.83550394,0.17971992,0,0,
97,goldfish,fish,0.96118283,0.039590836,0,0,
98,goldfish,fish,0.9921616,0.00786972,0,0,
99,goldfish,fish,0.7364963,0.30585098,0,0,
100,great_white_shark,shark,0.9541055,0.046980858,0,0,
101,great_white_shark,shark,0.93145496,0.07100773,0,0,
102,great_white_shark,shark,0.6738749,0.39471054,0,0,
103,great_white_shark,shark,0.7664889,0.26593494,0,0,
104,great_white_shark,shark,0.6321597,0.4586134,0,0,
105,great_white_shark,shark,0.3429909,1.0700512,0,0,
106,great_white_shark,shark,0.80938923,0.21147537,0,0,
107,great_white_shark,shark,0.011949578,4.427059,1,0,
108,great_white_shark,shark,0.6422559,0.4427681,0,0,
109,great_white_shark,shark,0.8154878,0.203969,1,1,
110,great_white_shark,shark,0.8549264,0.15674019,0,0,
111,great_white_shark,shark,0.76443285,0.26862144,0,0,
112,great_white_shark,shark,0.010405694,4.565402,1,0,
113,great_white_shark,shark,0.735504,0.30719948,0,0,
114,great_white_shark,shark,0.65396,0.42470932,0,0,
115,great_white_shark,shark,0.85959154,0.15129757,0,0,
116,great_white_shark,shark,0.9507081,0.050548553,0,0,
117,great_white_shark,shark,0.25825295,1.353816,0,0,
118,great_white_shark,shark,0.48999262,0.7133646,0,0,
119,great_white_shark,shark,0.82199484,0.19602108,0,0,
120,great_white_shark,shark,0.92028683,0.0830698,0,0,
121,great_white_shark,shark,0.90368384,0.101275444,0,0,
122,great_white_shark,shark,0.5839407,0.53795624,0,0,
123,great_white_shark,shark,0.855908,0.15559196,0,0,
124,great_white_shark,shark,0.93762285,0.06440735,0,0,
125,great_white_shark,shark,0.9437511,0.0578928,0,0,
126,great_white_shark,shark,0.42410114,0.8577833,0,0,
